envoy-1         | [2024-06-11 17:26:28.032][1][info][main] [source/server/server.cc:391] initializing epoch 0 (base id=0, hot restart version=11.120)
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:393] statically linked extensions:
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.matching.http.input: envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.subject, envoy.matching.inputs.uri_san
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.thrift_proxy.transports: auto, framed, header, unframed
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.dubbo_proxy.serializers: dubbo.hessian2
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.http.cache: envoy.extensions.http.cache.simple
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.filters.listener: envoy.filters.listener.http_inspector, envoy.filters.listener.original_dst, envoy.filters.listener.original_src, envoy.filters.listener.proxy_protocol, envoy.filters.listener.tls_inspector, envoy.listener.http_inspector, envoy.listener.original_dst, envoy.listener.original_src, envoy.listener.proxy_protocol, envoy.listener.tls_inspector
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.matching.network.custom_matchers: envoy.matching.custom_matchers.trie_matcher
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.resolvers: envoy.ip
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.matching.input_matchers: envoy.matching.matchers.consistent_hashing, envoy.matching.matchers.ip
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.http.header_validators: envoy.http.header_validators.envoy_default
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.clusters: envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.quic.server.crypto_stream: envoy.quic.crypto_stream.server.quiche
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.dubbo_proxy.protocols: dubbo
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.transport_sockets.upstream: envoy.transport_sockets.alts, envoy.transport_sockets.http_11_proxy, envoy.transport_sockets.internal_upstream, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tcp_stats, envoy.transport_sockets.tls, envoy.transport_sockets.upstream_proxy_protocol, raw_buffer, starttls, tls
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.access_loggers.extension_filters: envoy.access_loggers.extension_filters.cel
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.internal_redirect_predicates: envoy.internal_redirect_predicates.allow_listed_routes, envoy.internal_redirect_predicates.previous_routes, envoy.internal_redirect_predicates.safe_cross_scheme
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.http.stateful_session: envoy.http.stateful_session.cookie, envoy.http.stateful_session.header
envoy-1         | [2024-06-11 17:26:28.033][1][info][main] [source/server/server.cc:395]   envoy.compression.compressor: envoy.compression.brotli.compressor, envoy.compression.gzip.compressor, envoy.compression.zstd.compressor
